ART_LOG - 22/06/2024 | 09:14 PM - [404] - Ruta no encontrada: ArtFrameWork/Public
ART_LOG - 22/06/2024 | 09:24 PM - [404] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 09:40 PM - [404] - Ruta no encontrada: ArtFrameWork/Public
ART_LOG - 22/06/2024 | 09:40 PM - [ARTICMI/ART0001] - View not found: home
ART_LOG - 22/06/2024 | 09:40 PM - [404] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 09:41 PM - [ARTICMI/ART0002] - View: C:\xampp\htdocs\ArtFrameWork\App\Controllers/../App/Views/home.php
ART_LOG - 22/06/2024 | 09:41 PM - [ARTICMI/ART0001] - View not found: home
ART_LOG - 22/06/2024 | 09:41 PM - [404] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 09:43 PM - [ARTICMI/ART0002] - View: C:\xampp\htdocs\ArtFrameWork\App\Controllers/../Views/home.php
ART_LOG - 22/06/2024 | 09:43 PM - [404] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 09:43 PM - [ARTICMI/ART0002] - View: C:\xampp\htdocs\ArtFrameWork\App\Controllers/../Views/home.php
ART_LOG - 22/06/2024 | 09:43 PM - [404] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:44 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:44 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:44 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:44 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:45 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:45 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 04:26 PM - [ARTICMI/ART0002] - Route not found: favicon.ico
